Date_Time,t_in,t_out,temp_diff,power_heating,power_cooling,power_electricity,total_power
January,15.618421833079417,1.7827620967741953,13.835659736305221,10154.551976592575,0.0,4261.593366380421,10154.551976592575
February,16.0906292467079,3.8539806547619038,12.236648591945995,7018.10265602135,0.0,3848.195672601657,7018.10265602135
March,17.510903223088903,8.136491935483882,9.374411287605021,3983.421203722981,0.0,4253.956264380422,3983.421203722981
April,19.086534401260103,11.863958333333334,7.222576067926768,1507.6905062704357,0.0,4133.9769377875,1507.6905062704357
May,21.84029176302158,16.000000000000004,5.840291763021575,656.1255790476155,217.55755994788032,4253.956264380422,873.6831389954958
June,23.60262451430605,19.480694444444442,4.121930069861609,541.6701247034177,1435.69305184699,4118.702733787507,1977.3631765504078
July,25.407615877061573,23.03612231182795,2.3714935652336244,555.3853900507737,5580.952466234422,4269.230468380422,6136.337856285196
August,24.982059274678093,21.97348790322581,3.008571371452284,555.3853900507737,4190.1245073252185,4253.956264380421,4745.509897375992
September,22.879911702446407,18.154513888888896,4.72539781355751,538.8134753675138,235.64025584823116,4126.339835787505,774.4537312157449
October,18.96975496294345,12.365456989247315,6.604297973696136,1450.1148548524911,0.0,4261.593366380422,1450.1148548524911
November,16.619421894825894,6.321458333333322,10.297963561492573,5782.424483638564,0.0,4118.7027337875,5782.424483638564
December,15.749158872629048,2.619321236559139,13.129837636069908,9449.68717545144,0.0,4269.230468380422,9449.68717545144
